Project_Name,Project_URL,Project_Hash,Test_filename,Test_classname,Test_funcname,Test_parametrization,Order-dependent,Verdict_Isolated,Verdict_OriginalOrder
DotDot,https://github.com/Gsllchb/DotDot,89a6f7a86866de9c348f7e91da57c359c94568db,tests/test_dot.py,,test_dot,,TRUE,Passed,Passed
DotDot,https://github.com/Gsllchb/DotDot,89a6f7a86866de9c348f7e91da57c359c94568db,tests/test_dotdot.py,,test_dotdot,,TRUE,Passed,Failed
DotDot,https://github.com/Gsllchb/DotDot,89a6f7a86866de9c348f7e91da57c359c94568db,tests/test_dotdotdot.py,,test_dotdotdot,,TRUE,Passed,Failed
DotDot,https://github.com/Gsllchb/DotDot,89a6f7a86866de9c348f7e91da57c359c94568db,tests/test_dotdotdotdot.py,,test_dotdotdotdot,,TRUE,Passed,Failed
flask_googletrans,https://github.com/mrf345/flask_googletrans/,e7ec3057bdbe57bb30928edc41fdeb0d19a0984d,test_fg.py,,test__GtranRoute,,TRUE,Passed,Passed
flask_googletrans,https://github.com/mrf345/flask_googletrans/,e7ec3057bdbe57bb30928edc41fdeb0d19a0984d,test_fg.py,,test_cache_translation,,TRUE,Passed,Passed
flask_googletrans,https://github.com/mrf345/flask_googletrans/,e7ec3057bdbe57bb30928edc41fdeb0d19a0984d,test_fg.py,,test_translate_failsafe,,TRUE,Failed,Passed
flask_googletrans,https://github.com/mrf345/flask_googletrans/,e7ec3057bdbe57bb30928edc41fdeb0d19a0984d,test_fg.py,,test_translate_multi_new_mod,,TRUE,Passed,Passed
flask_googletrans,https://github.com/mrf345/flask_googletrans/,e7ec3057bdbe57bb30928edc41fdeb0d19a0984d,test_fg.py,,test_translate_single_new_dest,,TRUE,Passed,Passed
flask_googletrans,https://github.com/mrf345/flask_googletrans/,e7ec3057bdbe57bb30928edc41fdeb0d19a0984d,test_fg.py,,test_translate_template_initApp,,TRUE,Passed,Passed
flask_googletrans,https://github.com/mrf345/flask_googletrans/,e7ec3057bdbe57bb30928edc41fdeb0d19a0984d,test_fg.py,,test_translator_false_input,,TRUE,Passed,Passed
NeuroKit.py,https://github.com/neuropsychology/NeuroKit.py,fc77dc94e421d5b166a5516b7186bae483d753bd,tests/test_ecg.py,TestEcg,test_ecg_process,,TRUE,Passed,Passed
QTAF,https://github.com/Tencent/QTAF,c9141e8fbdfd89f5f13dd59dfab17f9e8193dcf8,tests/test_testbase/test_assert.py,AssertionTest,test_assert_failure,,TRUE,Passed,Passed
SCout,https://github.com/holzkohlengrill/SCout,8fd1eca0607b27d6e0c537b2ea1211d23356edff,tests/test_header.py,TestHeaderLogger,testSingleArg,,TRUE,Passed,Passed
abagen,https://github.com/rmarkello/abagen,4af521f6d7e71d4bbebb4960ff2447256e2447eb,abagen/tests/mouse/test_mouse.py,,test_get_unionization_from_experiment,[69782969-attributes4],TRUE,Passed,Passed
abagen,https://github.com/rmarkello/abagen,4af521f6d7e71d4bbebb4960ff2447256e2447eb,abagen/tests/mouse/test_mouse.py,,test_get_unionization_from_experiment,[986-attributes1],TRUE,Passed,Passed
alertlogicAPI,https://github.com/Fabio-CS/alertlogicAPI,8c5176ea611479aeb5475d6fd98f2a3688a7a631,requests/test_requests.py,RequestsTestCase,test_BASICAUTH_TUPLE_HTTP_200_OK_GET,,TRUE,Passed,Passed
apyhgnc,https://github.com/robertopreste/apyhgnc,26efa764a2262cfa12c8a2f0f077569e7f3e4e79,tests/test_apyhgnc.py,,test_info_url,,TRUE,Passed,Passed
astrocyte,https://github.com/dbbs-lab/astrocyte,3fa30fa2897ef1ea4dd94b2c9d6ddd3efb2a2b1a,tests/test_cli.py,TestCLI,test_3_build,,TRUE,Failed,Passed
asv,https://github.com/airspeed-velocity/asv,a131ca742daf53c4521fbfefeb53507b5c140c84,test/test_benchmarks.py,,test_invalid_benchmark_tree,,TRUE,Passed,Passed
asv,https://github.com/airspeed-velocity/asv,a131ca742daf53c4521fbfefeb53507b5c140c84,test/test_check.py,,test_check,,TRUE,Passed,Passed
asv,https://github.com/airspeed-velocity/asv,a131ca742daf53c4521fbfefeb53507b5c140c84,test/test_compare.py,,test_compare,,TRUE,Passed,Passed
asv,https://github.com/airspeed-velocity/asv,a131ca742daf53c4521fbfefeb53507b5c140c84,test/test_compare.py,,test_compare_name_lookup,[git],TRUE,Passed,Passed
asv,https://github.com/airspeed-velocity/asv,a131ca742daf53c4521fbfefeb53507b5c140c84,test/test_compare.py,,test_compare_name_lookup,[hg],TRUE,Passed,Passed
asv,https://github.com/airspeed-velocity/asv,a131ca742daf53c4521fbfefeb53507b5c140c84,test/test_conf.py,,test_load_plugin,,TRUE,Passed,Passed
asv,https://github.com/airspeed-velocity/asv,a131ca742daf53c4521fbfefeb53507b5c140c84,test/test_console.py,,test_color_print_nofail,,TRUE,Passed,Passed
asv,https://github.com/airspeed-velocity/asv,a131ca742daf53c4521fbfefeb53507b5c140c84,test/test_console.py,,test_write_with_fallback,,TRUE,Passed,Passed
asv,https://github.com/airspeed-velocity/asv,a131ca742daf53c4521fbfefeb53507b5c140c84,test/test_dev.py,,test_dev,,TRUE,Passed,Passed
asv,https://github.com/airspeed-velocity/asv,a131ca742daf53c4521fbfefeb53507b5c140c84,test/test_dev.py,,test_dev_strict,,TRUE,Passed,Passed
asv,https://github.com/airspeed-velocity/asv,a131ca742daf53c4521fbfefeb53507b5c140c84,test/test_dev.py,,test_dev_with_repo_subdir,,TRUE,Passed,Passed
asv,https://github.com/airspeed-velocity/asv,a131ca742daf53c4521fbfefeb53507b5c140c84,test/test_dev.py,,test_profile_python_same,,TRUE,Passed,Passed
asv,https://github.com/airspeed-velocity/asv,a131ca742daf53c4521fbfefeb53507b5c140c84,test/test_dev.py,,test_run_python_same,,TRUE,Passed,Passed
asv,https://github.com/airspeed-velocity/asv,a131ca742daf53c4521fbfefeb53507b5c140c84,test/test_environment.py,,test_environment_env_matrix,,TRUE,Passed,Passed
asv,https://github.com/airspeed-velocity/asv,a131ca742daf53c4521fbfefeb53507b5c140c84,test/test_environment.py,,test_environment_select,,TRUE,Passed,Passed
asv,https://github.com/airspeed-velocity/asv,a131ca742daf53c4521fbfefeb53507b5c140c84,test/test_environment.py,,test_matrix_empty,,TRUE,Passed,Passed
asv,https://github.com/airspeed-velocity/asv,a131ca742daf53c4521fbfefeb53507b5c140c84,test/test_gh_pages.py,,test_gh_pages,[git-no-rewrite],TRUE,Passed,Passed
asv,https://github.com/airspeed-velocity/asv,a131ca742daf53c4521fbfefeb53507b5c140c84,test/test_gh_pages.py,,test_gh_pages,[git-rewrite],TRUE,Passed,Passed
asv,https://github.com/airspeed-velocity/asv,a131ca742daf53c4521fbfefeb53507b5c140c84,test/test_gh_pages.py,,test_gh_pages,[hg-no-rewrite],TRUE,NotAnalysed,Passed
asv,https://github.com/airspeed-velocity/asv,a131ca742daf53c4521fbfefeb53507b5c140c84,test/test_gh_pages.py,,test_gh_pages,[hg-rewrite],TRUE,Passed,Passed
asv,https://github.com/airspeed-velocity/asv,a131ca742daf53c4521fbfefeb53507b5c140c84,test/test_machine.py,,test_machine,,TRUE,Passed,Passed
asv,https://github.com/airspeed-velocity/asv,a131ca742daf53c4521fbfefeb53507b5c140c84,test/test_machine.py,,test_machine_defaults,,TRUE,Passed,Passed
asv,https://github.com/airspeed-velocity/asv,a131ca742daf53c4521fbfefeb53507b5c140c84,test/test_publish.py,,test_publish,,TRUE,Passed,Passed
asv,https://github.com/airspeed-velocity/asv,a131ca742daf53c4521fbfefeb53507b5c140c84,test/test_publish.py,,test_publish_range_spec,[git],TRUE,Passed,Passed
asv,https://github.com/airspeed-velocity/asv,a131ca742daf53c4521fbfefeb53507b5c140c84,test/test_util.py,,test_parallelfailure,,TRUE,Passed,Passed
asyncloop,https://github.com/dgkim5360/asyncloop,e4f50156a74ee6430a8ade66f201ba61066396e4,asyncloop/tests/test_thread.py,,test_init_and_destroy,,TRUE,Passed,Passed
atlasclient,https://github.com/jpoullet2000/atlasclient,02b3e7d9a6596d1123fc22b6bfed08d60105d19e,tests/test_models.py,TestDiscoveryREST,test_search_attribute_get,,TRUE,Passed,Passed
authnzerver,https://github.com/waqasbhatti/authnzerver,bc735a1c9e1c084c40854a539a000d69a50ed486,authnzerver/tests/test_auth_creation.py,,test_create_user,,TRUE,Passed,Passed
authnzerver,https://github.com/waqasbhatti/authnzerver,bc735a1c9e1c084c40854a539a000d69a50ed486,authnzerver/tests/test_auth_permissions.py,,test_role_permissions,,TRUE,Passed,Passed
authnzerver,https://github.com/waqasbhatti/authnzerver,bc735a1c9e1c084c40854a539a000d69a50ed486,authnzerver/tests/test_email.py,,test_create_user_with_email,,TRUE,Passed,Passed
