Project_Name,Project_URL,Project_Hash,Test_id,Stat_State-setter
BT-Tracker,https://github.com/nordwind80/BT-Tracker,558c15b399871c1ca11d0c4ae1eb598e3060931e,Tracker/tests/test_event.py::TestEvent::test_object,1
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_command_context.py::test_manual_context_noccr,1
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_loading.py::test_loading,1
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_loading.py::test_reloading,1
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_merger.py::test_context_commands,1
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_merger.py::test_grammar_numbers,0
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_merger.py::test_invalid,5
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_merger.py::test_noccr_commands,1
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_top_level.py::test_recognition,0
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_top_level.py::test_top_level_command_failure,0
Coinsta,https://github.com/PyDataBlog/Coinsta,7cdce24669e5ab40852f0b88329c68e5bb568f5b,tests/test_coinsta.py::TestCoinsta::test_get_current,0
Flaskerizer,https://github.com/brettvanderwerff/Flaskerizer,5a9724804f4e479fc3289e8644dc788adfeff06d,flaskerizer/flaskerizer_src/tests/test_structure_directory.py::TestStructureDirectory::test_migrate_files,0
GOApy,https://github.com/leopepe/GOApy,a8e0dfe5f0f593107884ad54f89a27f67ee28129,tests/Sensor_test.py::SensorsTest::test_remove_sensor_success,4
HikLoad,https://github.com/Tedyst/HikLoad,b3eb7be65bd34040992e1b7b15f23ff4ce2e8dc4,tests/test_config.py::test_envvar,1
JavPy,https://github.com/TheodoreKrypton/JavPy,61df53aafbfbd05ed1efa8c51a08d6e9252cb533,JavPy/tests/test_sources.py::test_avsox_net,0
LabIFSC,https://github.com/gjvnq/LabIFSC,cb56b75f51eb54680d0b81f4c87aa0234538a2a8,tests/medida_test.py::test_medida_si_2,15
LabIFSC,https://github.com/gjvnq/LabIFSC,cb56b75f51eb54680d0b81f4c87aa0234538a2a8,tests/medida_test.py::test_medida_si_3,15
MusicAPI,https://github.com/kushao1267/MusicAPI,c6340d5dd6df869a90a44a311d3cd7a383bd4cf4,tests/music_test.py::test_xiami_music_id,0
MusicAPI,https://github.com/kushao1267/MusicAPI,c6340d5dd6df869a90a44a311d3cd7a383bd4cf4,tests/music_test.py::test_xiami_music_link,0
NestedDictionary,https://github.com/cahoy/NestedDictionary,881f0ea8af36a60fcd1b9d7a84b1aec4cd7072b2,easy_dict/tests/test_01_default.py::test_del,1
NeuroKit.py,https://github.com/neuropsychology/NeuroKit.py,fc77dc94e421d5b166a5516b7186bae483d753bd,tests/test_ecg.py::TestEcg::test_ecg_process,0
PyGraph,https://github.com/Rickecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py::TestSimpleGraph::test_delete_vertex,0
